Temps (s),Temp 1 (C),Temp 2 (C),Temp 3 (C),Sortie PID
3.09,24.71,24.8,24.83,4095.0
6.09,24.72,24.72,25.06,3562.87
9.09,24.19,24.77,25.04,3211.13
12.09,23.62,24.67,25.06,3066.18
15.09,23.3,24.56,24.98,3078.46
18.09,22.96,24.48,25.01,3047.42
21.09,22.7,24.3,24.96,3088.21
24.09,22.49,24.25,24.9,3122.09
27.09,22.2,24.06,24.88,3139.27
30.09,22.1,24.01,24.77,3204.32
33.09,21.92,23.85,24.77,3196.65
36.09,21.81,23.67,24.64,3278.21
39.09,21.66,23.64,24.61,3280.03
42.09,21.5,23.48,24.48,3354.18
45.09,21.45,23.41,24.38,3396.36
48.09,21.27,23.27,24.32,3409.67
51.09,21.19,23.14,24.19,3477.5
54.09,21.06,23.09,24.17,3475.42
57.09,20.93,22.96,24.06,3534.87
60.09,20.93,22.91,23.93,3598.05
63.09,20.75,22.78,23.85,3623.35
66.09,20.67,22.65,23.72,3685.47
69.09,20.52,22.62,23.69,3682.57
72.09,20.41,22.44,23.56,3756.94
75.09,20.33,22.41,23.48,3787.37
78.09,20.23,22.28,23.41,3823.97
81.09,20.31,22.26,23.27,3891.36
84.09,20.15,22.15,23.25,3891.65
87.09,20.1,22.02,23.12,3968.2
90.09,20.02,22.05,23.07,3986.48
93.09,19.89,21.92,22.99,4030.73
96.09,19.89,21.87,22.88,4087.87
99.09,19.76,21.81,22.88,4082.44
102.09,19.76,21.66,22.75,4095.0
105.09,19.71,21.66,22.73,4095.0
108.09,19.64,21.5,22.62,4095.0
111.09,19.61,21.53,22.54,4095.0
114.09,19.48,21.42,22.52,4095.0
117.09,19.48,21.37,22.41,4095.0
120.09,19.4,21.35,22.44,4095.0
123.09,19.35,21.22,22.36,4095.0
126.09,19.3,21.22,22.28,4095.0
129.09,19.14,21.16,22.26,4095.0
132.09,19.14,21.09,22.13,4095.0
135.09,19.04,21.03,22.13,4095.0
138.09,19.01,20.9,22.05,4095.0
141.09,19.04,20.93,22.02,4095.0
144.09,18.91,20.85,21.97,4095.0
147.09,18.91,20.83,21.89,4095.0
150.09,18.86,20.77,21.89,4095.0
153.09,18.86,20.67,21.76,4095.0
156.09,18.81,20.65,21.76,4095.0
159.09,18.81,20.57,21.71,4095.0
162.09,18.81,20.62,21.61,4095.0
165.09,18.68,20.52,21.58,4095.0
168.09,18.78,20.52,21.5,4095.0
171.09,18.73,20.52,21.5,4095.0
174.09,18.65,20.39,21.42,4095.0
177.09,18.68,20.44,21.42,4095.0
180.09,18.6,20.33,21.37,4095.0
183.09,18.6,20.33,21.29,4095.0
186.09,18.5,20.28,21.29,4095.0
189.09,18.47,20.23,21.24,4095.0
192.09,18.47,20.26,21.24,4095.0
195.09,18.45,20.18,21.19,4095.0
198.09,18.47,20.18,21.14,4095.0
201.09,18.39,20.15,21.16,4095.0
204.09,18.47,20.1,21.11,4095.0
207.09,18.42,20.1,21.11,4095.0
210.09,18.34,20.05,21.06,4095.0
213.09,18.37,20.05,21.03,4095.0
216.09,18.24,20.0,20.98,4095.0
219.09,18.21,19.95,20.9,4095.0
222.09,18.11,19.92,20.96,4095.0
225.09,18.06,19.84,20.88,4095.0
228.09,18.16,19.87,20.85,4095.0
231.09,18.14,19.82,20.85,4095.0
234.09,18.24,19.84,20.77,4095.0
237.09,18.16,19.82,20.8,4095.0
240.09,18.08,19.71,20.72,4095.0
243.09,18.03,19.76,20.75,4095.0
246.09,17.98,19.71,20.67,4095.0
249.09,18.03,19.71,20.62,4095.0
252.09,17.93,19.71,20.65,4095.0
255.09,17.95,19.61,20.59,4095.0
258.09,17.98,19.66,20.62,4095.0
261.09,17.9,19.61,20.59,4095.0
264.09,17.93,19.61,20.54,4095.0
267.09,17.85,19.56,20.57,4095.0
270.09,17.88,19.58,20.49,4095.0
273.09,17.9,19.58,20.54,4095.0
276.09,17.88,19.51,20.46,4095.0
279.09,17.8,19.51,20.46,4095.0
282.09,17.72,19.48,20.44,4095.0
285.09,17.72,19.43,20.33,4095.0
288.09,17.64,19.43,20.39,4095.0
291.09,17.62,19.32,20.33,4095.0
294.09,17.59,19.38,20.36,4095.0
297.09,17.54,19.3,20.33,4095.0
300.09,17.67,19.35,20.26,4095.0
303.09,17.64,19.3,20.31,4095.0
306.09,17.67,19.22,20.26,4095.0
309.09,17.62,19.27,20.31,4095.0
312.09,17.51,19.2,20.23,4095.0
315.09,17.54,19.22,20.23,4095.0
318.09,17.51,19.2,20.23,4095.0
321.09,17.57,19.17,20.15,4095.0
324.09,17.57,19.2,20.2,4095.0
327.09,17.59,19.14,20.15,4095.0
330.09,17.51,19.22,20.1,4095.0
333.09,17.49,19.17,20.1,4095.0
336.09,17.54,19.2,20.05,4095.0
339.09,17.49,19.17,20.15,4095.0
342.09,17.54,19.14,20.08,4095.0
345.09,17.49,19.14,20.13,4095.0
348.09,17.38,19.09,20.08,4095.0
351.09,17.44,19.17,20.02,4095.0
354.09,17.44,19.12,20.05,4095.0
357.09,17.49,19.07,19.97,4095.0
360.09,17.44,19.07,20.0,4095.0
363.09,17.44,19.01,20.0,4095.0
366.09,17.49,19.04,19.95,4095.0
369.09,17.44,19.04,20.0,4095.0
372.09,17.49,19.04,19.92,4095.0
375.09,17.44,19.04,19.97,4095.0
378.09,17.44,18.96,19.95,4095.0
381.09,17.44,19.07,19.95,4095.0
384.09,17.36,18.99,19.95,4095.0
387.09,17.44,18.99,19.89,4095.0
390.09,17.38,18.96,19.92,4095.0
393.09,17.36,18.89,19.87,4095.0
396.09,17.33,18.96,19.89,4095.0
399.09,17.26,18.89,19.87,4095.0
402.09,17.36,18.96,19.84,4095.0
405.09,17.28,18.94,19.87,4095.0
408.09,17.31,18.89,19.84,4095.0
